aspect,adjective,aspect_adj,restaurant_id,review_id,sentiment_score,sentiment_label
tier,top,top tier,7E0GO6fb7KIGAd9js7mDPg,E751zhSQwwPC0Ez9L4XjMw,0.9992945194244385,positive
waitress,own,own waitress,7E0GO6fb7KIGAd9js7mDPg,E751zhSQwwPC0Ez9L4XjMw,0.9414030313491821,positive
food,hot,hot food,7E0GO6fb7KIGAd9js7mDPg,la35rIgA4ovGsORoadkEag,0.9996910095214844,positive
food,good,good food,7E0GO6fb7KIGAd9js7mDPg,la35rIgA4ovGsORoadkEag,0.999862551689148,positive
time,big,big time,7E0GO6fb7KIGAd9js7mDPg,la35rIgA4ovGsORoadkEag,0.9993577599525452,positive
jerk villa,jamaican,jamaican jerk villa,7E0GO6fb7KIGAd9js7mDPg,kuh0Nhj4llWnQlMB2SAs9Q,0.9446703791618347,negative
street,79th,79th street,7E0GO6fb7KIGAd9js7mDPg,kuh0Nhj4llWnQlMB2SAs9Q,0.992077112197876,positive
customer service,rudest,rudest customer service,7E0GO6fb7KIGAd9js7mDPg,kuh0Nhj4llWnQlMB2SAs9Q,0.9993817806243896,negative
jerk food,many,many jerk food,7E0GO6fb7KIGAd9js7mDPg,kuh0Nhj4llWnQlMB2SAs9Q,0.9966045618057251,negative
onion,yummy,yummy onion,NYY3GwZTg332dkhs8JJnlg,tnTr-WiNsgCxJI_PmhYf_w,0.9922628402709961,positive
pepper,green,green pepper,NYY3GwZTg332dkhs8JJnlg,tnTr-WiNsgCxJI_PmhYf_w,0.9974416494369507,positive
pepper,green,green pepper,NYY3GwZTg332dkhs8JJnlg,tnTr-WiNsgCxJI_PmhYf_w,0.9974416494369507,positive
pizza onion,individual,individual pizza onion,NYY3GwZTg332dkhs8JJnlg,tnTr-WiNsgCxJI_PmhYf_w,0.7151145339012146,neutral
service,terrible,terrible service,NYY3GwZTg332dkhs8JJnlg,666atuVPmbAW2sZmcJY9MQ,0.9966068267822266,negative
cash,only,only cash,NYY3GwZTg332dkhs8JJnlg,666atuVPmbAW2sZmcJY9MQ,0.977786123752594,negative
inn pizza,frozen,frozen inn pizza,NYY3GwZTg332dkhs8JJnlg,1J7zOkWc5V1jVcdDf4hlKA,0.661849319934845,neutral
owner,terrible,terrible owner,zPZuFYVeu6KfQpupYhP1LQ,fUvOpmVMp2fSWCCOneRtjQ,0.9992393255233765,negative
owner,rude,rude owner,zPZuFYVeu6KfQpupYhP1LQ,fUvOpmVMp2fSWCCOneRtjQ,0.9996028542518616,negative
customer service,nasty,nasty customer service,zPZuFYVeu6KfQpupYhP1LQ,fUvOpmVMp2fSWCCOneRtjQ,0.9995527863502502,negative
food,not good,not good food,zPZuFYVeu6KfQpupYhP1LQ,fUvOpmVMp2fSWCCOneRtjQ,0.9997796416282654,negative
food,surprised,surprised food,zPZuFYVeu6KfQpupYhP1LQ,fUvOpmVMp2fSWCCOneRtjQ,0.9997658133506775,positive
week,long,long week,zPZuFYVeu6KfQpupYhP1LQ,F3uelpYobYrXgMDdKKclUA,0.8060780763626099,neutral
party,upcoming,upcoming party,JwdC0viyk-edOO9X-X413w,7IfNqgfU9D_QJ9rwYhxv-w,0.9972183704376221,positive
thing,good,good thing,JwdC0viyk-edOO9X-X413w,VzoyIC1P8BM0-SQxMTg3mA,0.9998297691345215,positive
ice cream,great,great ice cream,JwdC0viyk-edOO9X-X413w,VzoyIC1P8BM0-SQxMTg3mA,0.9998674392700195,positive
bread,more,more bread,JwdC0viyk-edOO9X-X413w,VzoyIC1P8BM0-SQxMTg3mA,0.9899961948394775,positive
sandwich,okay,okay sandwich,JwdC0viyk-edOO9X-X413w,VzoyIC1P8BM0-SQxMTg3mA,0.9978224039077759,positive
service,quick,quick service,JwdC0viyk-edOO9X-X413w,EIsj835BkiRrkpbwVU2Fnw,0.9939091205596924,positive
service,efficient,efficient service,JwdC0viyk-edOO9X-X413w,EIsj835BkiRrkpbwVU2Fnw,0.9998512268066406,positive
food,nostalgic,nostalgic food,JwdC0viyk-edOO9X-X413w,EIsj835BkiRrkpbwVU2Fnw,0.9996922016143799,positive
steak,sweet,sweet steak,JwdC0viyk-edOO9X-X413w,EIsj835BkiRrkpbwVU2Fnw,0.9991704225540161,positive
cashier,courteous,courteous cashier,q_QEtAn21JUaDi08UQDqTA,QkWcdB8ZojTX1cMRLOM-Nw,0.9995385408401489,positive
food,delicious,delicious food,q_QEtAn21JUaDi08UQDqTA,QkWcdB8ZojTX1cMRLOM-Nw,0.9998754262924194,positive
they,good,good they,q_QEtAn21JUaDi08UQDqTA,MbqlaVrMB9H49jptMnuNkw,0.9998321533203125,positive
list,good,good list,q_QEtAn21JUaDi08UQDqTA,MbqlaVrMB9H49jptMnuNkw,0.9998383522033691,positive
fashion,usual,usual fashion,q_QEtAn21JUaDi08UQDqTA,MbqlaVrMB9H49jptMnuNkw,0.8322962522506714,neutral
service,terrible,terrible service,q_QEtAn21JUaDi08UQDqTA,Gv2HZGzim-Ui66Ff2SfDoQ,0.9966068267822266,negative
friend,eager,eager friend,0HyQYEFeg1XZHWlaiNtU-g,7XPV0mcggJv55PzEVQyMaw,0.9995056390762329,positive
side,south,south side,0HyQYEFeg1XZHWlaiNtU-g,7XPV0mcggJv55PzEVQyMaw,0.9634017944335938,positive
chicken,fried,fried chicken,0HyQYEFeg1XZHWlaiNtU-g,7XPV0mcggJv55PzEVQyMaw,0.7112977504730225,neutral
notice,short,short notice,0HyQYEFeg1XZHWlaiNtU-g,_GaklhJvusnsQFN4eG0TSg,0.9976341724395752,negative
town,worn,worn town,0HyQYEFeg1XZHWlaiNtU-g,_GaklhJvusnsQFN4eG0TSg,0.9982755184173584,negative
garbage,cooked,cooked garbage,0HyQYEFeg1XZHWlaiNtU-g,Xa3pAEKsmZNXbOTp-BRq_Q,0.9995253086090088,negative
owner,friendly,friendly owner,Au9FDBs2Tr3isO2DTJPANw,tKM4Xm04z-QijFQXAYO6yQ,0.9998237490653992,positive
place,not fancy,not fancy place,Au9FDBs2Tr3isO2DTJPANw,tKM4Xm04z-QijFQXAYO6yQ,0.99745112657547,negative
chinese,good,good chinese,Au9FDBs2Tr3isO2DTJPANw,ASYu5q5O_IqA1XJpRaJ5hQ,0.9998581409454346,positive
